,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
33,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, postmenopausal, follow-up imaging",3082200,US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
34,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, postmenopausal, follow-up imaging",3082200,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
35,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, postmenopausal, follow-up imaging",3082200,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
36,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, postmenopausal, follow-up imaging",3082200,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
37,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, postmenopausal, follow-up imaging",3082200,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
38,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, postmenopausal, follow-up imaging",3082200,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
39,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, postmenopausal, follow-up imaging",3082200,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
40,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",3074171,US duplex Doppler pelvis,0 mSvO,0 mSv [ped]O,Usually appropriate
41,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",3074171,US pelvis transabdominal,0 mSvO,0 mSv [ped]O,Usually appropriate
42,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",3074171,US pelvis transabdominal and US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
43,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",3074171,US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
44,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",3074171,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
45,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",3074171,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
