,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
34,Gastrointestinal,"Abd pain, acute, nonlocalized, initial exam",3141529,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
35,Gastrointestinal,"Abd pain, acute, nonlocalized, initial exam",3141529,WBC scan abdomen and pelvis,10-30 mSv☢☢☢☢,,Usually not appropriate
36,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
37,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,US abdomen,0 mSvO,0 mSv [ped]O,May be appropriate
38,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,MRI abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
39,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,MRI abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
40,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
41,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate
42,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,Radiography abdomen,0.1-1mSv☢☢,0.03-0.3 mSv [ped]☢☢,Usually not appropriate
43,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,Fluoroscopy contrast enema,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
44,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,Fluoroscopy upper GI series with small bowel follow-through,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
45,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,Nuclear medicine scan gallbladder,0.1-1mSv☢☢,,Usually not appropriate
46,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
47,Gastrointestinal,"Abd pain, acute, nonlocalized, neutropenic, initial exam",3141528,WBC scan abdomen and pelvis,10-30 mSv☢☢☢☢,,Usually not appropriate
48,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,US abdomen,0 mSvO,0 mSv [ped]O,Usually appropriate
49,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,CT abdomen with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
50,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,MRI abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
51,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,MRI abdomen without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
52,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,CT abdomen without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
53,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,Radiography abdomen,0.1-1mSv☢☢,0.03-0.3 mSv [ped]☢☢,Usually not appropriate
54,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,Fluoroscopy contrast enema,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
