panel,scenario-id,scenario-text,scenario-url,sex,age,body-area,priority-clinical-areas,ct_usually_appropriate,ct_may_be_appropriate,ct_not_appropriate,other_usually_appropriate,other_may_be_appropriate,other_not_appropriate,mr_usually_appropriate,mr_may_be_appropriate,mr_not_appropriate,us_usually_appropriate,us_may_be_appropriate,us_not_appropriate,other_modality_usually_appropriate,other_modality_may_be_appropriate,other_modality_not_appropriate,green-green,green-yellow,green-red,yellow-green,yellow-yellow,yellow-red,red-green,red-yellow,red-red
Gastrointestinal,3195280,"Abdominal wall hernia suspected, spigelian, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6234,All,18 - 150,Abdomen,,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3195276,"Abdominal wall hernia suspected, umbilical, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6230,All,18 - 150,Abdomen,,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3195277,"Abdominal wall hernia suspected, ventral, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6231,All,18 - 150,Abdomen,,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3155927,"Abdominal wall mass, suspected",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4790,All,18 - 150,Abdomen,,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3196531,"Abnormal liver function tests, cholestatic predominance, elevated alkaline phosphatase with or without elevated gamma-glutamyl transpeptidase, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7154,All,18 - 150,Abdomen,,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3196526,"Abnormal liver function tests, hepatocellular predominance, mild aminotransferase increase , initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7151,All,18 - 150,Abdomen,,False,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False
Gastrointestinal,3196528,"Abnormal liver function tests, hepatocellular predominance, moderate aminotransferase increase, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7152,All,18 - 150,Abdomen,,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3196529,"Abnormal liver function tests, hepatocellular predominance, severe aminotransferase increase, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7153,All,18 - 150,Abdomen,,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3196533,"Abnormal liver function tests, hyperbilirubinemia, acute cholestasis, conjugated, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7155,All,18 - 150,Abdomen,,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3196534,"Abnormal liver function tests, hyperbilirubinemia, acute cholestasis, unconjugated, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7156,All,18 - 150,Abdomen,,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
